week_start,long_top5,short_bottom5,long_short,top5_coins,bottom5_coins
2025-04-03,-2.98,4.59,0.81,"BTCUSDT,BNBUSDT,ATOMUSDT,XLMUSDT,ETHUSDT","DENTUSDT,XVGUSDT,SKLUSDT,BEAMXUSDT,1000SATSUSDT"
2025-04-10,-2.39,2.38,-0.01,"RSRUSDT,HOTUSDT,ATOMUSDT,1000PEPEUSDT,DENTUSDT","EGLDUSDT,LTCUSDT,APTUSDT,ETHUSDT,1000SATSUSDT"
2025-04-17,11.86,-16.78,-2.46,"SOLUSDT,1000PEPEUSDT,AVAXUSDT,XRPUSDT,XVGUSDT","HOTUSDT,ATOMUSDT,RSRUSDT,BEAMXUSDT,1000SATSUSDT"
2025-04-24,6.79,-2.77,2.01,"ONEUSDT,SKLUSDT,1000SATSUSDT,DENTUSDT,IOTAUSDT","LTCUSDT,ETCUSDT,ATOMUSDT,XRPUSDT,BNBUSDT"
2025-05-01,-4.77,3.64,-0.56,"BEAMXUSDT,EGLDUSDT,DENTUSDT,RSRUSDT,BNTUSDT","BNBUSDT,SPELLUSDT,SKLUSDT,ATOMUSDT,AVAXUSDT"
2025-05-08,18.14,-25.95,-3.9,"BNTUSDT,ETHUSDT,LTCUSDT,BTCUSDT,IOTAUSDT","EGLDUSDT,SKLUSDT,XVGUSDT,BEAMXUSDT,1000SATSUSDT"
2025-05-15,4.73,-3.24,0.74,"1000PEPEUSDT,BNTUSDT,XVGUSDT,1000SATSUSDT,ETHUSDT","BNBUSDT,IOTAUSDT,BEAMXUSDT,BTCUSDT,RSRUSDT"
2025-05-22,-5.52,5.1,-0.21,"XVGUSDT,BTCUSDT,1000PEPEUSDT,RSRUSDT,DOGEUSDT","APTUSDT,HOTUSDT,XRPUSDT,EGLDUSDT,BEAMXUSDT"
2025-05-29,-8.72,12.81,2.05,"ETHUSDT,APTUSDT,BNBUSDT,1000PEPEUSDT,LTCUSDT","SPELLUSDT,SANDUSDT,ONEUSDT,IOTAUSDT,RSRUSDT"
2025-06-05,1.37,2.55,1.96,"BNBUSDT,ETHUSDT,BTCUSDT,XRPUSDT,XLMUSDT","ONEUSDT,GALAUSDT,RSRUSDT,1000PEPEUSDT,1000SATSUSDT"
2025-06-12,-11.0,11.35,0.17,"ETHUSDT,SOLUSDT,1000PEPEUSDT,AVAXUSDT,XLMUSDT","SPELLUSDT,HOTUSDT,EGLDUSDT,ONEUSDT,XVGUSDT"
2025-06-19,0.86,2.94,1.9,"BTCUSDT,BNBUSDT,LTCUSDT,XRPUSDT,RSRUSDT","AVAXUSDT,XVGUSDT,1000PEPEUSDT,DENTUSDT,BEAMXUSDT"
2025-06-26,9.05,-9.27,-0.11,"APTUSDT,BTCUSDT,XVGUSDT,RSRUSDT,BEAMXUSDT","DOGEUSDT,DENTUSDT,IOTAUSDT,ADAUSDT,1000PEPEUSDT"
